Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.11,0.08
kexAB (s^-1),4190,291
R1 (s^-1),1.84,0.06
R2 (s^-1),22.77,0.20
Red. Chi-sq,0.13
