Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),2.19,0.05
kexAB (s^-1),3982,183
R1 (s^-1),2.09,0.06
R2 (s^-1),19.54,0.18
Red. Chi-sq,0.21
