Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),1.88,0.06
kexAB (s^-1),3982,183
R1 (s^-1),2.39,0.08
R2 (s^-1),29.93,0.20
Red. Chi-sq,0.21
