Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.81,0.20
kexAB (s^-1),2690,320
R1 (s^-1),2.14,0.56
R2 (s^-1),27.77,1.09
Red. Chi-sq,1.62
