Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),6.53,3.78
kexAB (s^-1),4534,10049
R1 (s^-1),3.41,2.08
R2 (s^-1),52.23,7.13
Red. Chi-sq,14.55
