Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.13,0.08
kexAB (s^-1),6358,649
R1 (s^-1),3.48,0.09
R2 (s^-1),18.15,0.35
Red. Chi-sq,0.94
