Fit #1
gc1p Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.16,0.09
kexAB (s^-1),6358,649
R1 (s^-1),2.94,0.11
R2 (s^-1),12.03,0.47
Red. Chi-sq,0.94
