Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.030,0.030
dwB (ppm),4.27,4.27
kexAB (s^-1),2679,1091
R1 (s^-1),2.52,0.04
R2 (s^-1),20.43,0.09
Red. Chi-sq,0.34
