Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.92,0.11
kexAB (s^-1),258,9
R1 (s^-1),0.66,0.19
R2 (s^-1),30.95,0.20
Red. Chi-sq,0.47
