Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.30,0.00
kexAB (s^-1),10,2
R1 (s^-1),4.34,0.13
R2 (s^-1),20.61,0.14
Red. Chi-sq,7.31
