Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.196,0.005
dwB (ppm),4.26,0.11
kexAB (s^-1),2520,137
R1 (s^-1),2.82,0.05
R2 (s^-1),19.26,0.08
Red. Chi-sq,0.16
