Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),3.02,0.06
kexAB (s^-1),3333,151
R1 (s^-1),1.90,0.06
R2 (s^-1),20.09,0.14
Red. Chi-sq,0.17
