Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),2.56,0.07
kexAB (s^-1),3333,151
R1 (s^-1),2.25,0.08
R2 (s^-1),30.33,0.16
Red. Chi-sq,0.17
