Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.350,0.350
dwB (ppm),3.25,0.22
kexAB (s^-1),5098,605
R1 (s^-1),1.81,0.06
R2 (s^-1),29.97,0.38
Red. Chi-sq,0.45
