Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),3.63,0.19
kexAB (s^-1),2135,303
R1 (s^-1),5.20,0.29
R2 (s^-1),11.70,0.63
Red. Chi-sq,19.04
