Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),1.21,0.10
kexAB (s^-1),1761,321
R1 (s^-1),1.54,0.04
R2 (s^-1),21.30,0.07
Red. Chi-sq,0.99
