Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),1.67,0.16
kexAB (s^-1),1761,321
R1 (s^-1),1.51,0.07
R2 (s^-1),30.37,0.11
Red. Chi-sq,0.99
