Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.732,0.014
dwB (ppm),3.92,0.02
kexAB (s^-1),707,18
R1 (s^-1),2.22,0.03
R2 (s^-1),13.27,0.06
Red. Chi-sq,0.16
