param,fitval,fiterror
pB,0.00150,0.00000
pC,0.00000,0.00000
dwB,3.81555,0.05059
dwC,-0.00000,0.00000
kexAB,559.06146,61.99663
kexAC,-0.00000,0.00000
kexBC,0.00000,0.00000
R1,2.69064,0.00291
R2,19.35551,0.13951
rchi2,14.51859,0.0
