Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.11,0.05
kexAB (s^-1),2002,194
R1 (s^-1),2.50,0.08
R2 (s^-1),26.45,0.22
Red. Chi-sq,0.46
