Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),6.32,25.78
kexAB (s^-1),3989,53438
R1 (s^-1),5.52,0.45
R2 (s^-1),16.32,1.75
Red. Chi-sq,74.62
