Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),4.27,4.27
kexAB (s^-1),100000,244543
R1 (s^-1),0.98,0.10
R2 (s^-1),29.11,7.77
Red. Chi-sq,0.18
