Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),0.37,0.02
kexAB (s^-1),1448,399
R1 (s^-1),4.73,0.06
R2 (s^-1),20.89,0.10
Red. Chi-sq,1.69
