Date : 9/19/2019	Time : 12:44:05	
C:\UVWINLAB\DNA01U1.SP	
15.00	0.6907
15.20	0.6906
15.40	0.6908
15.60	0.6907
15.80	0.6907
16.00	0.6908
16.20	0.6907
16.40	0.6907
16.60	0.6907
16.80	0.6908
17.00	0.6909
17.20	0.6909
17.40	0.6910
17.60	0.6911
17.80	0.6911
18.00	0.6911
18.20	0.6913
18.40	0.6912
18.60	0.6913
18.80	0.6915
19.00	0.6914
19.20	0.6914
19.40	0.6914
19.60	0.6916
19.80	0.6916
20.00	0.6916
20.20	0.6916
20.40	0.6916
20.60	0.6918
20.80	0.6916
21.00	0.6916
21.20	0.6916
21.40	0.6918
21.60	0.6918
21.80	0.6920
22.00	0.6920
22.20	0.6920
22.40	0.6922
22.60	0.6920
22.80	0.6922
23.00	0.6922
23.20	0.6925
23.40	0.6925
23.60	0.6926
23.80	0.6925
24.00	0.6927
24.20	0.6927
24.40	0.6929
24.60	0.6929
24.80	0.6930
25.00	0.6932
25.20	0.6931
25.40	0.6930
25.60	0.6932
25.80	0.6934
26.00	0.6933
26.20	0.6933
26.40	0.6937
26.60	0.6937
26.80	0.6938
27.00	0.6939
27.20	0.6939
27.40	0.6942
27.60	0.6943
27.80	0.6943
28.00	0.6944
28.20	0.6946
28.40	0.6947
28.60	0.6949
28.80	0.6951
29.00	0.6950
29.20	0.6951
29.40	0.6955
29.60	0.6957
29.80	0.6957
30.00	0.6956
30.20	0.6959
30.40	0.6962
30.60	0.6961
30.80	0.6964
31.00	0.6966
31.20	0.6968
31.40	0.6968
31.60	0.6972
31.80	0.6972
32.00	0.6974
32.20	0.6977
32.50	0.6980
32.70	0.6981
33.00	0.6985
33.20	0.6987
33.50	0.6989
33.70	0.6993
34.00	0.6998
34.20	0.6999
34.50	0.7002
34.70	0.7006
35.00	0.7010
35.20	0.7012
35.50	0.7020
35.70	0.7019
36.00	0.7026
36.20	0.7029
36.50	0.7035
36.70	0.7038
37.00	0.7044
37.20	0.7046
37.50	0.7052
37.70	0.7058
38.00	0.7064
38.20	0.7069
38.50	0.7076
38.70	0.7080
39.00	0.7089
39.20	0.7095
39.50	0.7101
39.70	0.7107
40.00	0.7114
40.20	0.7122
40.50	0.7132
40.70	0.7132
41.00	0.7147
41.20	0.7155
41.50	0.7163
41.70	0.7172
42.00	0.7185
42.20	0.7194
42.50	0.7203
42.70	0.7203
43.00	0.7224
43.20	0.7233
43.50	0.7245
43.70	0.7252
44.00	0.7263
44.20	0.7268
44.50	0.7279
44.70	0.7279
45.00	0.7317
45.20	0.7329
45.50	0.7348
45.70	0.7360
46.00	0.7379
46.20	0.7391
46.50	0.7411
46.70	0.7411
47.00	0.7439
47.20	0.7450
47.50	0.7472
47.70	0.7483
48.00	0.7499
48.20	0.7513
48.50	0.7532
48.70	0.7532
49.00	0.7559
49.20	0.7574
49.50	0.7594
49.70	0.7605
50.00	0.7622
50.20	0.7635
50.50	0.7652
50.70	0.7652
51.00	0.7686
51.20	0.7695
51.50	0.7712
51.70	0.7722
52.00	0.7737
52.20	0.7751
52.50	0.7761
52.70	0.7761
53.00	0.7787
53.20	0.7791
53.50	0.7808
53.70	0.7813
54.00	0.7827
54.20	0.7833
54.50	0.7844
54.70	0.7844
55.00	0.7862
55.20	0.7866
55.50	0.7880
55.70	0.7885
56.00	0.7892
56.20	0.7894
56.50	0.7902
56.70	0.7902
57.00	0.7917
57.20	0.7920
57.50	0.7927
57.70	0.7932
58.00	0.7936
58.20	0.7940
58.50	0.7944
58.70	0.7944
59.00	0.7955
59.20	0.7958
59.50	0.7961
59.70	0.7963
60.00	0.7968
60.20	0.7971
60.50	0.7975
60.70	0.7975
61.00	0.7986
61.20	0.7988
61.50	0.7990
61.70	0.7992
62.00	0.7995
62.20	0.7998
62.50	0.8001
62.70	0.8001
63.00	0.8006
63.20	0.8006
63.50	0.8010
63.70	0.8012
64.00	0.8016
64.20	0.8016
64.40	0.8019
64.70	0.8022
64.90	0.8024
65.20	0.8028
65.40	0.8028
65.70	0.8031
65.90	0.8031
66.20	0.8038
66.40	0.8040
66.70	0.8042
66.90	0.8044
67.20	0.8045
67.40	0.8047
67.70	0.8051
67.90	0.8051
68.20	0.8053
68.40	0.8057
68.70	0.8059
68.90	0.8061
69.20	0.8064
69.40	0.8067
69.70	0.8070
69.90	0.8070
70.20	0.8072
70.40	0.8074
70.70	0.8078
70.90	0.8079
71.20	0.8083
71.40	0.8082
71.70	0.8084
71.90	0.8084
72.20	0.8089
72.40	0.8092
72.70	0.8096
72.90	0.8096
73.20	0.8098
73.40	0.8100
73.70	0.8102
73.90	0.8102
74.20	0.8108
74.40	0.8109
74.70	0.8111
74.90	0.8114
75.20	0.8116
75.40	0.8118
75.70	0.8120
75.90	0.8120
76.20	0.8126
76.40	0.8129
76.70	0.8130
76.90	0.8132
77.20	0.8136
77.40	0.8134
77.70	0.8137
77.90	0.8137
78.20	0.8142
78.40	0.8143
78.70	0.8144
78.90	0.8148
79.20	0.8149
79.40	0.8152
79.70	0.8153
79.90	0.8153
80.20	0.8158
80.40	0.8162
80.70	0.8162
80.90	0.8163
81.20	0.8167
81.40	0.8169
81.70	0.8172
81.90	0.8172
82.20	0.8175
82.40	0.8176
82.70	0.8177
82.90	0.8180
83.20	0.8182
83.40	0.8183
83.70	0.8182
83.90	0.8182
84.20	0.8188
84.40	0.8191
