Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),1.15,0.11
kexAB (s^-1),6546,794
R1 (s^-1),2.01,0.33
R2 (s^-1),22.05,1.95
Red. Chi-sq,1.31
