Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.459,0.030
dwB (ppm),2.89,0.13
kexAB (s^-1),2025,171
R1 (s^-1),2.30,0.08
R2 (s^-1),26.49,0.19
Red. Chi-sq,0.33
