Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.63,0.08
kexAB (s^-1),3023,187
R1 (s^-1),1.80,0.07
R2 (s^-1),20.55,0.15
Red. Chi-sq,0.22
