Fit #1
gc1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.88,0.09
kexAB (s^-1),5381,802
R1 (s^-1),3.61,0.14
R2 (s^-1),11.00,0.88
Red. Chi-sq,6.07
