Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.71,0.14
kexAB (s^-1),1611,126
R1 (s^-1),1.80,0.07
R2 (s^-1),16.46,0.11
Red. Chi-sq,0.12
