Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),2.35,0.06
kexAB (s^-1),3437,138
R1 (s^-1),1.67,0.09
R2 (s^-1),27.18,0.22
Red. Chi-sq,0.19
