Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),2.75,0.05
kexAB (s^-1),3437,138
R1 (s^-1),1.68,0.08
R2 (s^-1),17.40,0.21
Red. Chi-sq,0.19
