Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),2.88,0.17
kexAB (s^-1),1122,196
R1 (s^-1),1.67,0.07
R2 (s^-1),14.44,0.11
Red. Chi-sq,0.20
