param,fitval,fiterror
pB,0.00100,0.00000
pC,0.00000,0.00000
dwB,3.83079,0.08511
dwC,-0.00000,0.00000
kexAB,582.71238,102.24970
kexAC,0.00000,0.00000
kexBC,0.00000,0.00000
R1,2.69901,0.00318
R2,19.66777,0.15395
rchi2,17.19387,0.0
