Date : 5/30/2019	Time : 19:20:54	
C:\UVWINLAB\DNA901U1.SP	
15.00	0.5662
15.50	0.5665
16.00	0.5670
16.50	0.5673
17.00	0.5675
17.50	0.5679
18.00	0.5682
18.50	0.5684
19.00	0.5687
19.50	0.5694
20.00	0.5698
20.50	0.5704
21.00	0.5709
21.50	0.5716
22.00	0.5722
22.50	0.5728
23.00	0.5737
23.50	0.5743
24.00	0.5752
24.50	0.5760
25.00	0.5770
25.50	0.5781
26.00	0.5793
26.50	0.5800
27.00	0.5812
27.50	0.5825
28.00	0.5838
28.50	0.5850
29.00	0.5865
29.50	0.5882
30.00	0.5896
30.50	0.5913
31.00	0.5931
31.50	0.5950
32.00	0.5969
32.50	0.5991
33.00	0.6012
33.50	0.6035
34.00	0.6059
34.50	0.6083
35.00	0.6114
35.50	0.6145
36.00	0.6172
36.50	0.6194
37.00	0.6228
37.50	0.6263
38.00	0.6294
38.50	0.6328
39.00	0.6363
39.50	0.6385
40.00	0.6412
40.50	0.6449
41.00	0.6478
41.50	0.6513
42.00	0.6540
42.50	0.6571
43.00	0.6593
43.50	0.6603
44.00	0.6630
44.50	0.6651
45.00	0.6670
45.50	0.6687
46.00	0.6701
46.50	0.6717
47.00	0.6727
47.50	0.6740
48.00	0.6748
48.50	0.6758
49.00	0.6767
49.50	0.6776
50.00	0.6782
50.50	0.6790
51.00	0.6795
51.50	0.6801
52.00	0.6807
52.50	0.6813
53.00	0.6819
53.50	0.6822
54.00	0.6829
54.50	0.6834
55.00	0.6838
55.50	0.6841
56.00	0.6849
56.50	0.6853
57.00	0.6857
57.50	0.6861
58.00	0.6863
58.50	0.6868
59.00	0.6872
59.50	0.6876
60.00	0.6880
60.50	0.6884
61.00	0.6889
61.50	0.6892
62.00	0.6896
62.50	0.6899
63.00	0.6905
63.50	0.6910
64.00	0.6912
