Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.200,2.200
dwB (ppm),2.87,0.04
kexAB (s^-1),2208,69
R1 (s^-1),0.98,0.30
R2 (s^-1),30.02,0.49
Red. Chi-sq,0.44
