Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),6.80,8.23
kexAB (s^-1),4689,21687
R1 (s^-1),3.86,2.21
R2 (s^-1),54.77,7.81
Red. Chi-sq,16.42
