Fit #1
g10c8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.47,0.16
kexAB (s^-1),7362,777
R1 (s^-1),3.23,0.89
R2 (s^-1),16.09,3.26
Red. Chi-sq,6.99
