Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.17,0.02
kexAB (s^-1),1506,250
R1 (s^-1),1.57,0.07
R2 (s^-1),30.55,0.11
Red. Chi-sq,1.01
