Fit #1
gc1p Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.80,0.01
kexAB (s^-1),18,1
R1 (s^-1),1.46,0.10
R2 (s^-1),18.74,0.11
Red. Chi-sq,0.46
