Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.97,0.00
kexAB (s^-1),18,1
R1 (s^-1),1.43,0.09
R2 (s^-1),27.45,0.12
Red. Chi-sq,0.46
