Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),1.200,1.200
dwB (ppm),2.63,0.02
kexAB (s^-1),536,4
R1 (s^-1),4.46,0.02
R2 (s^-1),13.71,0.03
Red. Chi-sq,0.23
