Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),2.900,2.900
dwB (ppm),3.07,0.03
kexAB (s^-1),3253,97
R1 (s^-1),1.03,0.21
R2 (s^-1),29.30,0.59
Red. Chi-sq,0.22
