Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.66,0.06
kexAB (s^-1),5513,746
R1 (s^-1),1.99,0.07
R2 (s^-1),29.51,0.48
Red. Chi-sq,0.63
