Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.197,0.005
dwB (ppm),4.30,0.11
kexAB (s^-1),2500,135
R1 (s^-1),2.81,0.05
R2 (s^-1),19.24,0.08
Red. Chi-sq,0.16
