Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),1.40,0.12
kexAB (s^-1),3365,546
R1 (s^-1),2.26,0.04
R2 (s^-1),13.91,0.10
Red. Chi-sq,0.33
