Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),1.27,0.13
kexAB (s^-1),3365,546
R1 (s^-1),2.55,0.04
R2 (s^-1),20.15,0.11
Red. Chi-sq,0.33
