Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),4.51,0.63
kexAB (s^-1),2568,994
R1 (s^-1),1.82,0.18
R2 (s^-1),18.84,0.40
Red. Chi-sq,1.24
