Fit #1
G_C1p_Off_reduce_new_trunc Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),4.12,4.12
kexAB (s^-1),596,76
R1 (s^-1),2.06,0.05
R2 (s^-1),14.46,0.07
Red. Chi-sq,0.26
