Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.252,0.086
dwB (ppm),2.09,0.36
kexAB (s^-1),3169,554
R1 (s^-1),2.17,0.06
R2 (s^-1),22.12,0.17
Red. Chi-sq,0.21
