Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),4.27,4.27
kexAB (s^-1),100000,65985
R1 (s^-1),0.99,0.10
R2 (s^-1),20.29,7.88
Red. Chi-sq,0.18
