Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),5.34,1.03
kexAB (s^-1),3540,1580
R1 (s^-1),3.01,0.99
R2 (s^-1),31.07,2.29
Red. Chi-sq,4.89
