Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.209,0.031
dwB (ppm),2.84,0.19
kexAB (s^-1),1056,260
R1 (s^-1),1.66,0.07
R2 (s^-1),14.46,0.11
Red. Chi-sq,0.19
