Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.42,0.08
kexAB (s^-1),3820,267
R1 (s^-1),3.03,0.07
R2 (s^-1),23.18,0.25
Red. Chi-sq,0.30
