Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.82,0.11
kexAB (s^-1),5024,530
R1 (s^-1),1.94,0.06
R2 (s^-1),29.52,0.37
Red. Chi-sq,0.44
