Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),4.79,3.20
kexAB (s^-1),3208,9243
R1 (s^-1),1.68,0.10
R2 (s^-1),15.33,0.31
Red. Chi-sq,0.39
