Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.060,0.060
dwB (ppm),7.16,8.47
kexAB (s^-1),4364,15314
R1 (s^-1),5.24,1.16
R2 (s^-1),31.13,3.16
Red. Chi-sq,8.55
