Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.350,0.350
dwB (ppm),3.60,0.11
kexAB (s^-1),755,34
R1 (s^-1),1.59,0.06
R2 (s^-1),16.64,0.08
Red. Chi-sq,0.12
