Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),1.46,0.05
kexAB (s^-1),4430,235
R1 (s^-1),2.46,0.09
R2 (s^-1),29.69,0.25
Red. Chi-sq,0.28
