Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),1.69,0.05
kexAB (s^-1),4430,235
R1 (s^-1),2.20,0.07
R2 (s^-1),19.27,0.23
Red. Chi-sq,0.28
