Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),0.97,0.11
kexAB (s^-1),3554,625
R1 (s^-1),2.55,0.04
R2 (s^-1),20.17,0.12
Red. Chi-sq,0.36
