Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),6.69,5.28
kexAB (s^-1),4645,13980
R1 (s^-1),3.63,2.15
R2 (s^-1),53.44,7.49
Red. Chi-sq,15.46
