Fit #1
g10c1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.79,0.10
kexAB (s^-1),4838,298
R1 (s^-1),3.26,0.30
R2 (s^-1),9.42,1.01
Red. Chi-sq,3.22
