Fit #1
g10c8 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),5.38,2.27
kexAB (s^-1),4095,2830
R1 (s^-1),2.24,1.36
R2 (s^-1),30.23,2.61
Red. Chi-sq,11.91
