Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),4.25,0.00
kexAB (s^-1),13,1
R1 (s^-1),1.32,0.04
R2 (s^-1),21.18,0.05
Red. Chi-sq,1.07
